他感冒了。	tā gǎnmào le	He caught a cold.
我倾向于相信他的无辜。	wǒ qīngxiàngyú xiāngxìn tā de wúgū	I'm inclined to believe him innocent.
他表示了振振有词的抗议。	tā biǎoshì le zhènzhènyǒucí de kàngyì	He expressed voluble protests.
我有一件红色的华达呢上衣。	wǒ yǒu yī jiàn hóngsè de huá dá ne shàngyī	I have a red gabardine coat.
所有的窗户都用砖堵住了。	suǒyǒu de chuānghu dōu yòng zhuān dǔzhù le	All the windows were bricked up.
她打开卧室的门走了进去.	tā dǎkāi wòshì de mén zǒu le jìnqù	She opened the bedroom door and went in.
许多疾病是由细菌引起的。	xǔduō jíbìng shì yóu xìjūn yǐnqǐ de	Many diseases are caused by bacteria.
他们决定结束彼此的关系.	tāmen juédìng jiéshù bǐcǐ de guānxi	They decided to end their relationship.
他对那个罪犯做出了裁决。	tā duì nàge zuìfàn zuòchū le cáijué	He passed judgement on the guilty man.
天黑了，我把窗帘拉上。	tiānhēi le wǒ bǎ chuānglián lā shàng	I drew the curtain as it was getting dark.
她是一名公共汽车售票员。	tā shì yī míng gōnggòngqìchē shòupiàoyuán	She is a bus conductor.
我的弟弟是饲养牛的饲养员。	wǒ de dìdi shì sìyǎng niú de sìyǎngyuán	My brother is a cattle breeder.
她对计算机有广博的知识。	tā duì jìsuànjī yǒu guǎngbó de zhīshi	She has a broad knowledge of computers.
她渴望摆脱母亲的操纵.	tā kěwàng bǎituō mǔqīn de cāozòng	She longed to escape from her mother's domination.
一会儿工夫骚动平息了下来。	yīhuìr gōngfu sāodòng píngxī le xiàlai	Presently the tumult died down.
她的命运一直与悲哀相连。	tā de mìngyùn yīzhí yǔ bēi'āi xiānglián	Sorrow has always been her portion.
床头上有一个长枕垫。	chuáng tóushàng yǒu yī gè cháng zhěn diàn	There is a bolster across the head of the bed.
宇宙飞船正绕月球飞行。	yǔzhòufēichuán zhèng rào yuèqiú fēixíng	The spacecraft is orbiting the moon.
我以零售方式买来这些牛奶。	wǒ yǐ língshòu fāngshì mǎi lái zhèxiē niúnǎi	I bought the milk retail.
汽车和电车塞满了整条街。	qìchē hé diànchē sāimǎn le zhěngtiáo jiē	Cars and trolleys filled the streets.
他靠辛勤劳动而获得成功.	tā kào xīnqín láodòng ér huòdé chénggōng	His success was achieved by hard work.
建议肥胖病人改变饮食.	jiànyì féipàng bìngrén gǎibiàn yǐnshí	Obese patients are advised to change their diet.
拍照时照相机不要晃.	pāizhào shí zhàoxiàngjī bùyào huàng	Try not to jerk the camera when taking a photograph.
我每天早晨吃一碗麦片粥。	wǒ měitiān zǎochén chī yī wǎn màipiàn zhōu	I have a bowl of cereal every morning.
边上打了一个漂亮的红勾。	biān shàng dǎ le yī gè piàoliang de hóng gōu	There was a nice red tick in the margin.
与其说她善良不如说她单纯。	yǔqí shuō tā shànliáng bùrú shuō tā dānchún	She is not so kind as simple.
一场示威游行将要发生。	yī chǎng shìwēiyóuxíng jiāngyào fāshēng	A disorderly demonstration will take place.
我离开巴黎已经两星期了。	wǒ líkāi Bālí yǐjīng liǎngxīngqī le	I have been away from Paris for two weeks.
圣诞节是基督教的节日。	Shèngdànjié shì Jīdūjiào de jiérì	Christmas is a festival of the Christian Church.
这是这一科的权威性课本.	zhè shì zhè yī kē de quánwēixìng kèběn	This is the standard textbook on the subject.
我钱很宽裕，能帮助她。	wǒ qián hěn kuānyù néng bāngzhù tā	As I had plenty of money I was able to help her.
这本杂志登载优秀的小说。	zhè běn zázhì dēngzǎi yōuxiù de xiǎoshuō	This magazine published excellent stories.
每年春天河水把山谷淹没。	měinián chūntiān héshuǐ bǎ shāngǔ yānmò	Every spring the river floods the valley.
中国人民是一个勤劳的民族。	Zhōngguó rénmín shì yī gè qínláo de mínzú	The Chinese are industrious people.
我昨晚喝了一小瓶白兰地。	wǒ zuówǎn hē le yī xiǎo píng báilándì	I drank a miniature bottle of brandy last night.
他的态度既冷淡又无动于衷。	tā de tàidu jì lěngdàn yòu wúdòngyúzhōng	His manner was cold and indifferent.
他们在碎石小径上散步。	tāmen zài suìshí xiǎojìng shàng sànbù	They went out for a walk on the gravelled path.
暴风雨来临时，天空转暗。	bàofēngyǔ lái línshí tiānkōng zhuàn àn	The sky turned dark as the storm came near.
幸福和财富不能混为一谈。	xìngfú hé cáifù bùnéng hùnwéiyītán	One can not identify happiness with wealth.
他们标明每艘船的新位置。	tāmen biāomíng měi sōu chuán de xīn wèizhi	They plotted the new position of each vessel.
她的美貌倾倒了很多男青年。	tā de měimào qīngdào le hěn duō nán qīngnián	Her beauty enslaved many young men.
全镇沉浸在节日的气氛之中。	quán zhèn chénjìn zài jiérì de qìfēn zhīzhōng	The whole town is in a festive mood.
我们摸索着走过黑暗的街道。	wǒmen mōsuo zhe zǒuguò hēi'àn de jiēdào	We groped our way through the dark streets.
我与其嫁给他，倒不如去死算了。	wǒ yǔqí jià gěi tā dǎo bùrú qùsǐ suànle	I may as well die as marry him.
猫在门口哀叫着想出去。	māo zài ménkǒu āi jiào zhuóxiǎng chūqù	The cat whined at the door, asking to be let out.
饲养员就是饲养动物的人。	sìyǎngyuán jiùshì sìyǎng dòngwù de rén	A breeder means a person who breeds animals.
他以友谊为掩护欺骗了我们。	tā yǐ yǒuyì wéi yǎnhù qīpiàn le wǒmen	He cheated us under the guise of friendship.
这小镇上什么事也没发生过。	zhè xiǎo zhèn shàng shénmeshì yě méi fāshēng guò	Nothing ever happens in this town.
社会有权要求人们守法。	shèhuì yǒuquán yāoqiú rénmen shǒufǎ	Society has a right to expect people to obey the law.
他打算把财产转让给儿子。	tā dǎsuàn bǎ cáichǎn zhuǎnràng gěi érzi	He intends to transfer the property to his son.
他的死使我们大家都大为震惊。	tā de sǐ shǐ wǒmen dàjiā dōu dàwéi zhènjīng	His death was a great shock to us all.
哨兵查问在门口的陌生人.	shàobīng cháwèn zài ménkǒu de mòshēngrén	The sentry challenged the stranger at the gates.
现在卖报纸利润很少。	xiànzài mài bàozhǐ lìrùn hěn shǎo	There is very little profit in selling newspapers at present.
五月里各种植物鲜花盛开。	Wǔyuè lǐ gèzhǒng zhíwù xiānhuā shèngkāi	In May, all kinds of plants are in full bloom.
人应当倾听自己的内心感觉。	rén yīngdāng qīngtīng zìjǐ de nèixīn gǎnjué	He should listen to his intimate feelings.
他们把火车的车厢连接好。	tāmen bǎ huǒchē de chēxiāng liánjiē hǎo	They coupled the carriages of the train together.
他们用绳索把犯人捆起来。	tāmen yòng shéngsuǒ bǎ fànrén kǔn qilai	They tied their prisoner up with a piece of rope.
混凝土墙是用钢筋加固的。	hùnníngtǔ qiáng shì yòng gāngjīn jiāgù de	The concrete walls are reinforced with steel rods.
那本旧书是我最珍贵的财产。	nà běn jiùshū shì wǒ zuì zhēnguì de cáichǎn	That old book is my most precious possession.
爱因斯坦是个伟大的科学天才。	Àiyīnsītǎn shì gè wěidà de kēxué tiāncái	Einstein was a great scientific genius.
很遗憾，你没有得到那份工作。	hěn yíhàn nǐ méiyǒu dédào nà fèn gōngzuò	I'm sorry that you didn't get the job.
在英国，车辆必须靠左行驶。	zài Yīngguó chēliàng bìxū kào zuǒ xíngshǐ	In England traffic must keep to the left.
暴风雨时，我正在树下躲避。	bàofēngyǔ shí wǒ zhèngzài shù xià duǒbì	In the storm I took shelter under the tree.
如果你再迟到，你将被解雇。	rúguǒ nǐ zài chídào nǐ jiāng bèi jiěgù	If you are late again, you will be dismissed.
谣传近期鸡蛋要涨价。	yáochuán jìnqī jīdàn yào zhǎngjià	A rumor went forth that the price of eggs would be raised soon.
他是那么聪明，使我自愧不如。	tā shì nàme cōngming shǐ wǒ zìkuìbùrú	He's so clever, he makes me feel inferior.
我们走时车子扬起了一阵尘土。	wǒmen zǒu shí chēzi yángqǐ le yīzhèn chéntǔ	The car raised quite a dust as we drove off.
我疯狂地渴望去完成那件事。	wǒ fēngkuáng dì kěwàng qù wánchéng nà jiàn shì	I have an insane desire to finish that thing.
这幅画表现的是海上风暴。	zhè fú huà biǎoxiàn de shì hǎishàng fēngbào	This painting is a representation of a storm at sea.
我相信她照顾孤儿是件好事。	wǒ xiāngxìn tā zhàogu gū'ér shì jiàn hǎoshì	I believe it good her taking care of orphans.
他给后世留下了不朽的典范。	tā gěi hòushì liúxià le bùxiǔ de diǎnfàn	He left behind an immortal example to all posterity.
他总是叹息研究经费不足。	tā zǒngshì tànxī yánjiū jīngfèi bùzú	He always bemoans the shortage of funds for research.
他向高脚酒杯里倒了一些葡萄酒。	tā xiàng gāo jiǎo jiǔbēi lǐ dǎo le yīxiē pútaojiǔ	He poured some wine into the goblet.
这些树是每隔20英尺栽种一棵的.	zhèxiē shù shì měigé yīngchǐ zāizhòng yī kē de	The trees were planted at 20 ft intervals.
峡谷常常有河流经过其中。	xiágǔ chángcháng yǒu héliú jīngguò qízhōng	A canyon usually has a river flowing through it.
那次失败是一次难以吞咽的苦果。	nà cì shībài shì yīcì nányǐ tūnyàn de kǔguǒ	The defeat was a bitter pill to swallow.
史密斯夫人教那些快五岁的儿童。	Shǐmìsī fūren jiāo nàxiē kuài wǔ suì de értóng	Mrs Smith teaches the rising fives.
这个种植园里有数百名奴隶。	zhège zhòngzhíyuán lǐ yǒu shùbǎi míng núlì	There were hundreds of slaves in the plantation.
我了解一些世界上的神秘宗教。	wǒ liǎojiě yīxiē shìjiè shàng de shénmì zōngjiào	I know some world's mystic religions.
这辆卡车最大载重量是一吨。	zhè liàng kǎchē zuì dà zàizhòngliàng shì yī dūn	The maximum load for this lorry is one ton.
希尔先生和夫人招待客人真周到.	Xī'ěr xiānsheng hé fūren zhāodài kèrén zhēn zhōudào	Mr and Mrs Hill are such good hosts.
饮酒过度的人常常失去记忆。	yǐnjiǔ guòdù de rén chángcháng shīqù jìyì	Alcoholics often suffer from periods of oblivion.
粉刷房间就要把钢琴搬出去。	fěnshuā fángjiān jiùyào bǎ gāngqín bānchūqù	Painting the room involved moving out the piano.
他穿着一条沾满油污的旧牛仔裤。	tā chuānzhuó yī tiáo zhānmǎn yóuwū de jiù niúzǎikù	He wears an oily old pair of jeans.
他点燃了生日蛋糕上的小蜡烛。	tā diǎnrán le shēngrìdàngāo shàng de xiǎo làzhú	He lit the candles on the birthday cake.
以音乐和舞蹈庆祝他的胜利。	yǐ yīnyuè hé wǔdǎo qìngzhù tā de shènglì	His victory was celebrated with music and dancing.
我把钥匙掉在这附近某个地方了。	wǒ bǎ yàoshi diào zài zhè fùjìn mǒu gè dìfang le	I dropped my key somewhere about here.
我冒雨出去，结果被淋得湿透了。	wǒ màoyǔ chūqù jiéguǒ bèi lín dé shītòu le	I went out in the rain and got wet through.
阴沉的天气让我们都感到压抑。	yīnchén de tiānqì ràng wǒmen dōu gǎndào yāyì	We were all depressed by the dismal weather.
一片片的锈从旧铁锅上落下。	yīpiàn piàn de xiù cóng jiù tiěguō shàng luòxià	Flakes of rust are falling from the old iron pan.
女朋友最喜欢的女性同伴或爱人	nǚpéngyou zuì xǐhuan de nǚxìng tóngbàn huò àiren	A favored female companion or sweetheart.
我们能用半径计算出圆的面积。	wǒmen néng yòng bànjìng jìsuàn chū yuán de miànjī	We can compute the circular area with radius.
我们都喜欢乡村生活的宁静。	wǒmen dōu xǐhuan xiāngcūn shēnghuó de níngjìng	We all like the tranquility of the country life.
我不愿意在交通高峰时间出去。	wǒ bù yuànyì zài jiāotōng gāofēng shíjiān chūqù	I don't like to go out during the rush hour.
他拐弯抹角地说她缺乏经验。	tā guǎiwānmòjiǎo dì shuō tā quēfá jīngyàn	He made oblique references to her lack of experience.
她挣扎著想摆脱那个侵犯她的人.	tā zhēngzhá zhuóxiǎng bǎituō nàge qīnfàn tā de rén	She struggled to get away from her attacker.
他过去的经历笼罩着神秘气氛。	tā guòqu de jīnglì lǒngzhào zhe shénmì qìfēn	His past is enveloped in a shroud of mystery.
别那么敏感，我不是在批评你。	bié nàme mǐngǎn wǒ bùshì zài pīpíng nǐ	Don't be so sensitive - I was not criticizing you.
我在夏天一个闷热的下午遇见了她。	wǒ zài xiàtiān yī gè mēnrè de xiàwǔ yùjiàn le tā	I met her in a sultry summer afternoon.
咱们来把它们用胶水粘在一块儿。	zánmen lái bǎ tāmen yòng jiāoshuǐ zhān zài yīkuàir	Let's stick them together with gum.
获得冠军的那个弓箭手很年轻。	huòdé guànjūn de nàge gōngjiànshǒu hěn niánqīng	The archer who won the game is very young.
政府将派军驻守沿海的城镇。	zhèngfǔ jiāng pài jūn zhùshǒu yánhǎi de chéngzhèn	The government will garrison the coastal towns.
这种建筑风格让我感到很压抑。	zhèzhǒng jiànzhù fēnggé ràng wǒ gǎndào hěn yāyì	This kind of architectural style depresses me.
